4,Date ,Transect,Start Lat,Start Long,End Lat ,End Long,Species,0-5,5-10,10-15,15-20,20-25,25-30,Investigator,Entered By,Check By ,Date Checked,Notes
Hopkins,20230412,1,36.6213N,121.90356W,36.6214981N,121.9036872W,H. cracherodii,0,0,0,0,0,0,"Sarah, An, Cristian, Devynn",Sarah,,,
Hopkins,20230412,1,36.6213N,121.90356W,36.6214981N,121.9036872W,S. franciscanus,0,0,0,0,0,0,"Sarah, An, Cristian, Devynn",Sarah,,,
Hopkins,20230412,1,36.6213N,121.90356W,36.6214981N,121.9036872W,H. rufescens,0,0,0,0,0,0,"Sarah, An, Cristian, Devynn",Sarah,,,
Hopkins,20230412,1,36.6213N,121.90356W,36.6214981N,121.9036872W,P. ochraceus,0,0,0,0,0,0,"Sarah, An, Cristian, Devynn",Sarah,,,
Hopkins,20230412,1,36.6213N,121.90356W,36.6214981N,121.9036872W,P. miniata,0,0,0,0,0,0,"Sarah, An, Cristian, Devynn",Sarah,,,
Pt Pinos,20230320,5,36.63821N,121.93694W,36.63835N,121.93702W,H. cracherodii,0,0,0,0,0,0,Zach & Nick,Gabby,,,
Pt Pinos,20230320,5,36.63821N,121.93694W,36.63835N,121.93702W,S. purpuratus,2,0,0,0,0,0,Zach & Nick,Gabby,,,
Pt Pinos,20230320,5,36.63821N,121.93694W,36.63835N,121.93702W,S. franciscanus,0,0,0,0,0,0,Zach & Nick,Gabby,,,
Pt Pinos,20230320,5,36.63821N,121.93694W,36.63835N,121.93702W,H. rufescens,0,0,0,0,0,0,Zach & Nick,Gabby,,,
Pt Pinos,20230320,5,36.63821N,121.93694W,36.63835N,121.93702W,P. ochraceus,0,0,0,0,0,0,Zach & Nick,Gabby,,,
Pt Pinos,20230320,5,36.63821N,121.93694W,36.63835N,121.93702W,P. miniata,1,0,0,0,2,0,Zach & Nick,Gabby,,,
Cannery Row,20230319,1,36.613788N,121.897391W,36.613923,121.897928W,H. cracherodii,0,0,0,0,0,0,"Gabe, Caitlin",Caitlin,,,
Cannery Row,20230419,1,36.613788N,121.897391W,36.613923,121.897928W,S. purpuratus,113,23,24,11,10,0,"Gabe, Caitlin",Caitlin,,,
Cannery Row,20230419,1,36.613788N,121.897391W,36.613923,121.897928W,S. franciscanus,0,0,0,0,0,0,"Gabe, Caitlin",Caitlin,,,
Cannery Row,20230419,1,36.613788N,121.897391W,36.613923,121.897928W,P. ochraceus,6,0,4,0,1,0,"Gabe, Caitlin",Caitlin,,,
Cannery Row,20230419,1,36.613788N,121.897391W,36.613923,121.897928W,P. miniata,0,0,0,0,0,0,"Gabe, Caitlin",Caitlin,,,
Hopkins,20230416,5,36.62154N,121.9035W,36.62174N,121.9036W,S. purpuratus,0,0,3,19,0,0,"Gladys, Caitlin","Gladys,Caitlin",,,
Hopkins,20230416,5,36.62154N,121.9035W,36.62174N,121.9036W,H. cracherodii,2,0,0,0,0,0,"Gladys, Caitlin","Gladys,Caitlin",,,
Hopkins,20230416,5,36.62154N,121.9035W,36.62174N,121.9036W,S. franciscanus,0,0,0,0,0,0,"Gladys, Caitlin","Gladys,Caitlin",,,
Hopkins,20230416,5,36.62154N,121.9035W,36.62174N,121.9036W,H. rufescens,0,0,0,0,0,0,"Gladys, Caitlin","Gladys,Caitlin",,,
Hopkins,20230416,5,36.62154N,121.9035W,36.62174N,121.9036W,P. ochraceus,0,0,0,0,0,0,"Gladys, Caitlin","Gladys,Caitlin",,,
Hopkins,20230416,5,36.62154N,121.9035W,36.62174N,121.9036W,P. miniata,0,0,0,0,0,0,"Gladys, Caitlin","Gladys,Caitlin",,,
Hopkins,20230412,2,36.62113N,121.90326W,36.62126N,121.90339W,H. cracherodii,1,0,0,0,,,,,,,
Hopkins,20230412,2,36.62113N,121.90326W,36.62126N,121.90339W,S. purpuratus,0,1,0,0,,,,,,,
Hopkins,20230412,2,36.62113N,121.90326W,36.62126N,121.90339W,S. franciscanus,0,0,0,0,,,,,,,
Hopkins,20230412,2,36.62113N,121.90326W,36.62126N,121.90339W,H. rufescens,0,0,0,0,,,,,,,
Hopkins,20230412,2,36.62113N,121.90326W,36.62126N,121.90339W,P. ochraceus,0,0,0,0,,,,,,,
Hopkins,20230412,2,36.62113N,121.90326W,36.62126N,121.90339W,P. miniata,0,0,0,0,,,,,,,
Carmel Point,20230417,1,36.54434N,121.93371W,36.54417N,121.93378W,S. purpuratus,289,113,38,810,0,0,"Sarah, Gabe, Alison",Sarah,,,
Carmel Point,20230417,1,36.54434N,121.93371W,36.54417N,121.93378W,H. cracherodii,5,5,11,0,0,0,"Sarah, Gabe, Alison",Sarah,,,
Carmel Point,20230417,1,36.54434N,121.93371W,36.54417N,121.93378W,P. miniata,0,1,5,3,0,0,"Sarah, Gabe, Alison",Sarah,,,
Carmel Point,20230417,1,36.54434N,121.93371W,36.54417N,121.93378W,S. franciscanus,0,0,0,0,0,0,"Sarah, Gabe, Alison",Sarah,,,
Carmel Point,20230417,1,36.54434N,121.93371W,36.54417N,121.93378W,H. rufescens,0,0,0,0,0,0,"Sarah, Gabe, Alison",Sarah,,,
Carmel Point,20230417,1,36.54434N,121.93371W,36.54417N,121.93378W,P. ochraceus,0,0,0,0,0,0,"Sarah, Gabe, Alison",Sarah,,,
Hopkins,20230416,6,36.62173N,121.90375W,36.62186N,121.90359W,H. cracherodii,0,0,0,0,0,0,"Sarah, Gabe, Alison",Sarah,,,
Hopkins,20230416,6,36.62173N,121.90375W,36.62186N,121.90359W,S. purpuratus,202,47,10,164,,,,,,,
Hopkins,20230416,6,36.62173N,121.90375W,36.62186N,121.90359W,S. franciscanus,0,0,0,0,,,,,,,
Hopkins,20230416,6,36.62173N,121.90375W,36.62186N,121.90359W,H. rufescens,0,0,0,0,,,,,,,
Hopkins,20230416,6,36.62173N,121.90375W,36.62186N,121.90359W,P. ochraceus,0,0,0,0,,,,,,,
Hopkins,20230416,6,36.62173N,121.90375W,36.62186N,121.90359W,P. miniata,0,0,0,5,,,,,,,
Carmel Point,20230417,2,36.54415N,121.93379W,36.54398N,121.93384W,H. cracherodii,7,3,8,1,,,,,,,
Carmel Point,20230417,2,36.54415N,121.93379W,36.54398N,121.93384W,S. purpuratus,166,104,80,106,,,"Kaylee, Taylor, and Brooke",Kaylee,,,
Carmel Point,20230417,2,36.54415N,121.93379W,36.54398N,121.93384W,S. franciscanus,0,0,0,0,,,,,,,
Carmel Point,20230417,2,36.54415N,121.93379W,36.54398N,121.93384W,H. rufescens,0,0,0,0,,,,,,,
Carmel Point,20230417,2,36.54415N,121.93379W,36.54398N,121.93384W,P. ochraceus,0,0,0,0,,,,,,,
Carmel Point,20230417,2,36.54415N,121.93379W,36.54398N,121.93384W,P. miniata,5,3,12,11,,,,,,,
Hopkins,20230412,3,36.62121N,121.90324W,36.62104N,121.90323,H. cracherodii,0,4,2,3,,,,,,,
Hopkins,20230412,3,36.62121N,121.90324W,36.62104N,121.90323,S. purpuratus,133,15,44,14,,,,,,,
Hopkins,20230412,3,36.62121N,121.90324W,36.62104N,121.90323,S. franciscanus,0,0,0,0,,,,,,,
Hopkins,20230412,3,36.62121N,121.90324W,36.62104N,121.90323,H. rufescens,0,0,0,0,,,,,,,
Hopkins,20230412,3,36.62121N,121.90324W,36.62104N,121.90323,P. ochraceus,0,0,0,0,,,,,,,
Hopkins,20230412,3,36.62121N,121.90324W,36.62104N,121.90323,P. miniata,0,0,0,0,,,,,,,
Carmel Point,20230417,4,36.54384N,121.939404W,36.56372N,121.93417W,S. purpuratus,93,92,88,344,,,"GM,AM,CG,ZZ",AM,,,
Carmel Point,20230417,4,36.54384N,121.939404W,36.56372N,121.93417W,P. miniata,0,4,7,17,,,"GM,AM,CG,ZZ",AM,,,
Carmel Point,20230417,4,36.54384N,121.939404W,36.56372N,121.93417W,H. cracherodii,0,0,0,0,,,"GM,AM,CG,ZZ",AM,,,
Carmel Point,20230417,4,36.54384N,121.939404W,36.56372N,121.93417W,P. ochraceus,0,0,0,0,,,"GM,AM,CG,ZZ",AM,,,
Carmel Point,20230417,4,36.54384N,121.939404W,36.56372N,121.93417W,H. rufescens,0,0,0,0,,,"GM,AM,CG,ZZ",AM,,,
Carmel Point,20230417,4,36.54384N,121.939404W,36.56372N,121.93417W,S. franciscanus,0,0,0,0,,,"GM,AM,CG,ZZ",AM,,,
Carmel Point,20230417,3,36.54369N,121.93389W,36.54384N,121.93401W,S. purpuratus,76,5,3,27,,,"Sophie, Alyssa, Henry, Nick",Sophie,,,
Carmel Point,20230417,3,36.54369N,121.93389W,36.54384N,121.93401W,P. miniata,7,0,0,0,,,"Sophie, Alyssa, Henry, Nick",Sophie,,,
Carmel Point,20230417,3,36.54369N,121.93389W,36.54384N,121.93401W,P. ochraceus,0,0,0,7,,,"Sophie, Alyssa, Henry, Nick",Sophie,,,
Cannery Row,20230421,4,36.61401N,121.89778W,36.61416N,121.89785W,S. purpuratus,20,13,78,49,,,"Emma, An",Alyssa,,,
Cannery Row,20230421,4,36.61401N,121.89778W,36.61416N,121.89785W,P. ochraceus,3,1,3,1,,,"Emma, An",Emma,,,
Cannery Row,20230421,6,36.61437N,121.89792W,36.6145N,121.89775W,H. cracherodii,0,0,0,0,,,,,,,
Cannery Row,20230421,6,36.61437N,121.89792W,36.6145N,121.89775W,S. purpuratus,201,672,963,489,,,Kaylee and Alison,Kaylee,,,
Cannery Row,20230421,6,36.61437N,121.89792W,36.6145N,121.89775W,S. franciscanus,0,0,0,0,,,Kaylee and Alison,Kaylee,,,
Cannery Row,20230421,6,36.61437N,121.89792W,36.6145N,121.89775W,H. rufescens,0,0,0,0,,,Kaylee and Alison,Kaylee,,,
Cannery Row,20230421,6,36.61437N,121.89792W,36.6145N,121.89775W,P. ochraceus,0,0,2,1,,,Kaylee and Alison,Kaylee,,,
Cannery Row,20230421,6,36.61437N,121.89792W,36.6145N,121.89775W,P. miniata,0,0,0,0,,,Kaylee and Alison,Kaylee,,,
Hopkins,20230416,4,35.62136N,121.909331W,36.62153N ,121.90334W,S. purpuratus,0,0,1,12,,,Taylor and Brooke,Avery,,,
Hopkins,20230416,4,35.62136N,121.909331W,36.62153N ,121.90334W,H. cracherodii,0,0,0,1,,,Taylor and Brooke,Avery,,,
Hopkins,20230416,4,35.62136N,121.909331W,36.62153N ,121.90334W,S. franciscanus,0,0,0,0,,,Taylor and Brooke,Avery,,,
Hopkins,20230416,4,35.62136N,121.909331W,36.62153N ,121.90334W,H. rufescens,0,0,0,0,,,Taylor and Brooke,Avery,,,
Hopkins,20230416,4,35.62136N,121.909331W,36.62153N ,121.90334W,P. ochraceus,0,0,0,0,,,Taylor and Brooke,Avery,,,
Hopkins,20230416,4,35.62136N,121.909331W,36.62153N ,121.90334W,P. miniata,0,0,0,0,,,Taylor and Brooke,Avery,,,
Soberanes,20230422,2,36.452084N,121.929642W,36.45272N,121.92994W,S. purpuratus,469,328,320,375,0,0,"Sarah, Mazie, Cassidy, Amy",Sarah,,,"0-5: 1 diseased, 5-10: 5, 10-15/15-20: 2 diseased"
Soberanes,20230422,2,36.452084N,121.929642W,36.45272N,121.92994W,H. cracherodii,0,2,0,0,0,0,"Sarah, Mazie, Cassidy, Amy",Sarah,,,
Soberanes,20230422,2,36.452084N,121.929642W,36.45272N,121.92994W,S. franciscanus,0,0,0,0,0,0,"Sarah, Mazie, Cassidy, Amy",Sarah,,,
Soberanes,20230422,2,36.452084N,121.929642W,36.45272N,121.92994W,H. rufescens,0,0,0,0,0,0,"Sarah, Mazie, Cassidy, Amy",Sarah,,,
Soberanes,20230422,2,36.452084N,121.929642W,36.45272N,121.92994W,P. ochraceus,4,5,1,1,0,0,"Sarah, Mazie, Cassidy, Amy",Sarah,,,
Soberanes,20230422,2,36.452084N,121.929642W,36.45272N,121.92994W,P. miniata,0,0,0,0,0,0,"Sarah, Mazie, Cassidy, Amy",Sarah,,,
Cannery Row,20230421,5,36.61418N,121.89784W,36.61435N,121.89791W,S. purpuratus,47,193,130,44,0,0,"Brooke, Taylor, Henry, Avery, Cassidy",Brooke,,,
Cannery Row,20230421,5,36.61418N,121.89784W,36.61435N,121.89791W,H. cracherodii,0,0,0,0,0,0,"Brooke, Taylor, Henry, Avery, Cassidy",Brooke,,,
Cannery Row,20230421,5,36.61418N,121.89784W,36.61435N,121.89791W,S. franciscanus,0,0,0,0,0,0,"Brooke, Taylor, Henry, Avery, Cassidy",Brooke,,,
Cannery Row,20230421,5,36.61418N,121.89784W,36.61435N,121.89791W,H. rufescens,0,0,0,0,0,0,"Brooke, Taylor, Henry, Avery, Cassidy",Brooke,,,
Cannery Row,20230421,5,36.61418N,121.89784W,36.61435N,121.89791W,P. ochraceus,3,2,7,7,0,0,"Brooke, Taylor, Henry, Avery, Cassidy",Brooke,,,
Cannery Row,20230421,5,36.61418N,121.89784W,36.61435N,121.89791W,P. miniata,0,0,0,0,0,0,"Brooke, Taylor, Henry, Avery, Cassidy",Brooke,,,
Soberanes,20230422,3,36.452407N,121.930027W,36.452514N,121.929839W,H. cracherodii,1,7,8,4,,,Kaylee and Emma,Kaylee,,,
Soberanes,20230422,3,36.452407N,121.930027W,36.452514N,121.929839W,S. purpuratus,55,54,21,97,,,Kaylee and Emma,Kaylee,,,
Soberanes,20230422,3,36.452407N,121.930027W,36.452514N,121.929839W,S. franciscanus,0,0,0,0,,,Kaylee and Emma,Kaylee,,,
Soberanes,20230422,3,36.452407N,121.930027W,36.452514N,121.929839W,H. rufescens,0,0,0,0,,,Kaylee and Emma,Kaylee,,,
Soberanes,20230422,3,36.452407N,121.930027W,36.452514N,121.929839W,P. ochraceus,0,0,0,0,,,Kaylee and Emma,Kaylee,,,
Soberanes,20230422,3,36.452407N,121.930027W,36.452514N,121.929839W,P. miniata,0,0,0,0,,,Kaylee and Emma,Kaylee,,,
Soberanes,20230422,2,36.452084N,121.929642W,36.45272N,121.92994W,S. purpuratus,588,302,277,197,0,0,"Taylor, Brooke, Avery, Gladys",Sarah,,,
Soberanes,20230422,2,36.452084N,121.929642W,36.45272N,121.92994W,H. cracherodii,0,0,0,1,0,0,"Taylor, Brooke, Avery, Gladys",Sarah,,,
Soberanes,20230422,2,36.452084N,121.929642W,36.45272N,121.92994W,S. franciscanus,0,0,0,0,0,0,"Taylor, Brooke, Avery, Gladys",Sarah,,,
Soberanes,20230422,2,36.452084N,121.929642W,36.45272N,121.92994W,H. rufescens,0,0,0,0,0,0,"Taylor, Brooke, Avery, Gladys",Sarah,,,
Soberanes,20230422,2,36.452084N,121.929642W,36.45272N,121.92994W,P. miniata,0,0,0,0,0,0,"Taylor, Brooke, Avery, Gladys",Sarah,,,
Soberanes,20230422,2,36.452084N,121.929642W,36.45272N,121.92994W,P. ochraceus,0,11,0,0,0,0,"Taylor, Brooke, Avery, Gladys",Sarah,,,
Soberanes,20230422,4,36.45239N,121.9300027W,36.452321N,121.9298390W,S. purpuratus,513,36,124,284,0,0,"Allison, An",Alyssa,,,
Soberanes,20230422,4,36.45239N,121.9300027W,36.452321N,121.9298390W,P. ochraceus,1,0,0,0,0,0,"Allison, An",Alyssa,,,
Soberanes,20230422,4,36.45239N,121.9300027W,36.452321N,121.9298390W,S. franciscanus,0,0,0,0,0,0,"Allison, An",Alyssa,,,
Soberanes,20230422,4,36.45239N,121.9300027W,36.452321N,121.9298390W,H. rufescens,0,0,0,0,0,0,"Allison, An",Alyssa,,,
Soberanes,20230422,4,36.45239N,121.9300027W,36.452321N,121.9298390W,P. miniata,0,0,0,0,0,0,"Allison, An",Alyssa,,,
Soberanes,20230422,4,36.45239N,121.9300027W,36.452321N,121.9298390W,H. cracherodii,2,5,5,1,0,0,"Allison, An",Alyssa,,,
