Site,Date,transect_no,start_lat,start_long,end_lat,end_long,transect_length,Species,Number,Investigators,entered_by,checked_by,
Hopkins,4222026,1,NA,NA,NA,NA,20,H. cracherodii,0,"EQ, IO, BH",Zach,Makenna,
Hopkins,4222026,1,NA,NA,NA,NA,20,S. purpuratus,0,"EQ, IO, BH",Zach,Makenna,
Hopkins,4222026,1,NA,NA,NA,NA,20,P. miniata,0,"EQ, IO, BH",Zach,Makenna,
Hopkins,4222026,1,NA,NA,NA,NA,20,P. ochraceus,0,"EQ, IO, BH",Zach,Makenna,
Hopkins,4222026,2,36.621296,-121.903523,36.621123,-121.90422,20,H. cracherodii,0,"AB, DF, RR, LB",Zach,Makenna,
Hopkins,4222026,2,36.621296,-121.903523,36.621123,-121.90422,20,S. purpuratus,26,"AB, DF, RR, LB",Zach,Makenna,
Hopkins,4222026,2,36.621296,-121.903523,36.621123,-121.90422,20,P. ochraceus,0,"AB, DF, RR, LB",Zach,Makenna,
Hopkins,4222026,2,36.621296,-121.903523,36.621123,-121.90422,20,P. miniata,0,"AB, DF, RR, LB",Zach,Makenna,
Hopkins,4222026,4,36.621486,-121.903513,36.621576,-121.903395,20,P. ochraceus,0,"Zach, Makenna",Zach,Makenna,
Hopkins,4222026,4,36.621486,-121.903513,36.621576,-121.903395,20,P. miniata,0,"Zach, Makenna",Zach,Makenna,
Hopkins,4222026,4,36.621486,-121.903513,36.621576,-121.903395,20,H. cracherodii,21,"Zach, Makenna",Zach,Makenna,
Hopkins,4222026,4,36.621486,-121.903513,36.621576,-121.903395,20,S. purpuratus,105,"Zach, Makenna",Zach,Makenna,
Hopkins,4222026,5,36.621475,-121.903556,36.621141,-121.903707,20,S. purpuratus,35,Khiara & Allison,Khiara,Samreen,
Hopkins,4222026,5,36.621475,-121.903556,36.621141,-121.903707,20,P. ochraceus,2,Khiara & Allison,Khiara,Samreen,
Hopkins,4222026,5,36.621475,-121.903556,36.621141,-121.903707,20,H. cracherodii,0,Khiara & Allison,Lily ,Lily,
