Site,Date ,Transect,Start Lat,Start Long,End Lat ,End Long,Species,0-5,5-10,10-15,15-20,20-25,25-30,Investigator,Entered By,Check By ,Date Checked,Notes
Pt Pinos,02032026,6,36.63759,-121.93595,36.63768,-121.93623,S. purpuratus,29,17,33,38,7,33,"Hailey Alderson,Isabella Bravo",Hailey,Bravo,18032026,
Pt Pinos,02032026,6,36.63759,-121.93595,36.63768,-121.93623,P. miniata,0,0,0,0,0,0,"Hailey Alderson,Isabella Bravo",Hailey,Bravo,18032026,
Pt Pinos,02032026,6,36.63759,-121.93595,36.63768,-121.93623,P. ochraceus,0,0,0,0,0,0,"Hailey Alderson,Isabella Bravo",Hailey,Bravo,18032026,
Carmel Point,04192026,5,36.5436624,-121.9391988,36.5434626,-121.9342002,S. purpuratus,408,336,105,223,,,"Zach, Ty",Zach,Makenna,4222026,
Carmel Point,04192026,5,36.5436624,-121.9391988,36.5434626,-121.9342002,P. miniata,0,0,0,0,0,0,Lily,Lily,Lily,4222026,Zeros not entered
Carmel Point,04192026,5,36.5436624,-121.9391988,36.5434626,-121.9342002,P. miniata,1,2,0,2,,,"Zach, Ty",Zach,Makenna,4222026,
Soberanes,04202026,1,36.452866,-121.930094,36.452861,-121.930271,S. purpuratus,35,1,61,164,,,"Zach, Makenna",Zach,Makenna,4222026,
Soberanes,04202026,1,36.452866,-121.930094,36.452861,-121.930271,P. ochraceus,0,0,0,2,,,"Zach, Makenna",Zach,Makenna,4222026,
Soberanes,04202026,1,36.452866,-121.930094,36.452861,-121.930271,P. miniata,0,0,0,2,,,"Zach, Makenna",Zach,Makenna,4222026,
Hopkins,04222026,4,36.621486,-121.903513,36.621576,-121.903395,S. purpuratus,19,5,62,19,,,"Zach, Makenna",Zach,Makenna,4222026,
Hopkins,04222026,4,36.621486,-121.903513,36.621576,-121.903395,P. ochraceus,0,0,0,0,,,"Zach, Makenna",Zach,Makenna,4222026,
Hopkins,04222026,4,36.621486,-121.903513,36.621576,-121.903395,P. miniata,0,0,0,0,,,"Zach, Makenna",Zach,Makenna,4222026,
Cannery Row,04212026,3,36.613894,-121.897625,36.614022,-121.897755,S. purpuratus,54,128,54,1,0,0,"Samreen, Lily ",Lily,Laine,4222026,1 diseased urchin
Cannery Row,04212026,3,36.613894,-121.897625,36.614022,-121.897755,P. ochraceus,2,5,1,1,0,0,"Samreen, Lily ",Lily ,Laine,4222026,
Cannery Row,04212026,3,36.613894,-121.897625,36.614022,-121.897755,P. miniata,0,0,0,0,0,0,"Samreen, Lily ",Lily ,Laine,4222026,
Hopkins,04222026,3,36.621184,-121.403195,36.621233,-121.903362,S. purpuratus,15,14,0,0,0,0,"Samreen, Lily ",Khiara,Samreen,,
Hopkins,04222026,5,36.621475,-121.903556,36.621141,-121.903707,P. ochraceus,1,0,0,1,0,0,"Khiara, Allison",Khiara,Samreen,,
Hopkins,04222026,5,36.621475,-121.903556,36.621141,-121.903707,S. purpuratus,0,16,10,9,0,0,"Khiara, Allison",Khiara,Samreen,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Cannery Row,4212026,1,36.613756,-121.897403,36.613981,-121.898486,S. purpuratus,157,244,56,10,0,0,"Ryan, Bravo",Bravo,Hailey,4222026,
Cannery Row,4212026,1,36.613756,-121.897403,36.613981,-121.898486,P. ochraceus,1,2,1,0,0,0,"Ryan, Bravo",Bravo,Hailey,4222026,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Soberanes,4202026,3,,,,,S. purpuratus,218,86,98,168,70,0,"NB, RR, DF",Sofi,Sara,4222026,No listed Lat and Long for start or end 
Soberanes,4202027,3,,,,,P. miniata,0,0,0,0,0,0,"NB, RR, DF",Sofi,Sara,4222026,
Soberanes,4202028,3,,,,,P. ochraceus,3,0,0,0,0,0,"NB, RR, DF",Sofi,Sara,4222026,
Soberanes,4202026,4,36.452335,-121.929949,36.452324,-121.929829,S. purpuratus,159,55,50,109,0,0,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Hopkins,4222026,1,,,,,S. purpuratus,0,0,0,0,,,"EQ, IO, BH",Zach,Makenna,4222026,
Hopkins,4222026,1,,,,,P. ochraceus,0,0,0,0,,,"EQ, IO, BH",Zach,Makenna,4222026,
Hopkins,4222026,1,,,,,P. miniata,0,0,0,0,,,"EQ, IO, BH",Zach,Makenna,4222026,
Cannery Row,4212026,4,36.614368,-121.897904,36.614734,-121.897862,S. purpuratus,34,27,63,100,,,AH,Makenna,Zach,4222026,
Cannery Row,4212027,4,36.614368,-121.897904,36.614734,-121.897862,P. miniata,0,0,0,0,,,AH,Makenna,Zach,4222026,
Cannery Row,4212028,4,36.614368,-121.897904,36.614734,-121.897862,P. ochraceus,5,0,0,2,,,AH,Makenna,Zach,4222026,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Carmel Point,4192026,4,36.54154,-121.93243,36.54347,-121.93352,S. purpuratus,132,661,681,601,0,0,Blanca and Addison,Hailey,Bravo,4222026,
Carmel Point,4192026,4,36.54154,-121.93243,36.54347,-121.93352,P. miniata,9,4,0,0,0,0,Blanca and Addison,Hailey,Bravo,4222026,
,,,,,,,,,,,,,,,,,,
Hopkins,4222026,2,36.621296,-121.903523,36.621423,-121.90422,S. purpuratus,1,5,20,0,,,"NB, DF, RR, LB",Makenna,Zach,4222026,
Hopkins,4222027,2,36.621296,-121.903523,36.621423,-121.90422,P. ochraceus,0,0,0,0,,,"NB, DF, RR, LB",Makenna,Zach,4222026,
Hopkins,4222028,2,36.621296,-121.903523,36.621423,-121.90422,P. miniata,0,0,0,0,,,"NB, DF, RR, LB",Makenna,Zach,4222026,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Cannery Row,4212027,2,NA,NA,36.613915,-121.897608,P. ochraceus,0,0,1,0,,,"Lily, Sareem",Laine,Lily,4222026,
Cannery Row,4212028,2,NA,NA,36.613915,-121.897608,P. miniata,0,0,0,0,,,"Lily, Sareem",Laine,Lily,4222026,
Cannery Row,4212029,2,NA,NA,36.613915,-121.897608,S. purpuratus,0,0,1,0,,,"Lily, Sareem",Laine,Lily,4222026,
Soberanes,4202026,2,36.45285,-121.929884,36.452896,-121.930074,H. cracherodii,0,0,1,0,,,"Lily, Ericka",TY,,,
Soberanes,4202026,2,36.45285,-121.929884,36.452896,-121.930074,S. purpuratus,12,12,93,48,63,,"Lily, Ericka",TY,,,
